[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 14:25:51 ]CACA :27 [°C], 58.96 RH, 0.9213 bar
[ 14:25:52 ]EEEE :27 [°C], 62.89 RH, 0.9200 bar
[ 14:25:52 ]CCCC :27 [°C], 61.24 RH, 0.9213 bar
[ 14:25:52 ]BABE :27 [°C], 62.22 RH, 0.9225 bar
[ 14:25:52 ]BABE :27 [°C], 62.22 RH, 0.9225 bar
[ 14:25:52 ]AAAA :29 [°C], 59.29 RH, 0.9206 bar
[ 14:25:52 ]CACA :27 [°C], 59.03 RH, 0.9213 bar
[ 14:25:53 ]EEEE :27 [°C], 62.89 RH, 0.9194 bar
[ 14:25:53 ]BABE :27 [°C], 62.22 RH, 0.9213 bar
[ 14:25:53 ]AAAA :29 [°C], 59.29 RH, 0.9219 bar
[ 14:25:53 ]CCCC :27 [°C], 61.26 RH, 0.9213 bar
[ 14:25:53 ]CACA :27 [°C], 59.06 RH, 0.9200 bar
[ 14:25:54 ]BABE :27 [°C], 62.22 RH, 0.9219 bar
[ 14:25:54 ]EEEE :27 [°C], 62.89 RH, 0.9213 bar
[ 14:25:54 ]CACA :27 [°C], 59.06 RH, 0.9213 bar
[ 14:25:54 ]AAAA :29 [°C], 59.26 RH, 0.9194 bar
[ 14:25:54 ]CCCC :27 [°C], 61.29 RH, 0.9219 bar
[ 14:25:55 ]CCCC :27 [°C], 61.29 RH, 0.9213 bar
[ 14:25:55 ]CACA :27 [°C], 59.06 RH, 0.9219 bar
[ 14:25:55 ]AAAA :29 [°C], 59.23 RH, 0.9206 bar
[ 14:25:55 ]EEEE :27 [°C], 62.86 RH, 0.9200 bar
[ 14:25:55 ]BABE :27 [°C], 62.22 RH, 0.9213 bar
[ 14:25:56 ]EEEE :27 [°C], 62.82 RH, 0.9200 bar
[ 14:25:56 ]CCCC :27 [°C], 61.29 RH, 0.9219 bar
[ 14:25:56 ]CACA :27 [°C], 59.06 RH, 0.9219 bar
[ 14:25:56 ]BABE :27 [°C], 62.29 RH, 0.9225 bar
[ 14:25:56 ]AAAA :29 [°C], 59.23 RH, 0.9219 bar
[ 14:25:56 ]CACA :27 [°C], 59.06 RH, 0.9213 bar
[ 14:25:57 ]AAAA :29 [°C], 59.20 RH, 0.9206 bar
[ 14:25:57 ]BABE :27 [°C], 62.25 RH, 0.9206 bar
[ 14:25:57 ]CCCC :27 [°C], 61.26 RH, 0.9225 bar
[ 14:25:57 ]CACA :27 [°C], 59.03 RH, 0.9213 bar
[ 14:25:57 ]EEEE :27 [°C], 62.82 RH, 0.9213 bar
[ 14:26:00 ]EEEE :27 [°C], 62.82 RH, 0.9213 bar
[ 14:26:00 ]BABE :27 [°C], 62.25 RH, 0.9213 bar
[ 14:26:00 ]CACA :27 [°C], 58.96 RH, 0.9213 bar
[ 14:26:00 ]AAAA :29 [°C], 59.17 RH, 0.9206 bar
[ 14:26:00 ]CCCC :27 [°C], 61.21 RH, 0.9225 bar
[ 14:26:01 ]EEEE :27 [°C], 62.82 RH, 0.9200 bar
[ 14:26:01 ]BABE :27 [°C], 62.22 RH, 0.9206 bar
[ 14:26:01 ]CACA :27 [°C], 58.96 RH, 0.9213 bar
[ 14:26:01 ]AAAA :29 [°C], 59.17 RH, 0.9219 bar
[ 14:26:01 ]CCCC :27 [°C], 61.21 RH, 0.9219 bar
[ 14:26:02 ]EEEE :27 [°C], 62.82 RH, 0.9200 bar
[ 14:26:02 ]BABE :27 [°C], 62.29 RH, 0.9238 bar
[ 14:26:02 ]AAAA :29 [°C], 59.17 RH, 0.9206 bar
[ 14:26:02 ]CCCC :27 [°C], 61.18 RH, 0.9206 bar
[ 14:26:02 ]CACA :27 [°C], 58.96 RH, 0.9219 bar
[ 14:26:04 ]AAAA :29 [°C], 59.23 RH, 0.9219 bar
[ 14:26:04 ]EEEE :27 [°C], 62.86 RH, 0.9187 bar
[ 14:26:04 ]CACA :27 [°C], 58.96 RH, 0.9213 bar
[ 14:26:04 ]BABE :27 [°C], 62.25 RH, 0.9225 bar
[ 14:26:04 ]CCCC :27 [°C], 61.18 RH, 0.9200 bar
[ 14:26:05 ]AAAA :29 [°C], 59.26 RH, 0.9206 bar
[ 14:26:05 ]BABE :27 [°C], 62.28 RH, 0.9219 bar
[ 14:26:05 ]AAAA :29 [°C], 59.26 RH, 0.9206 bar
[ 14:26:05 ]EEEE :27 [°C], 62.89 RH, 0.9200 bar
[ 14:26:05 ]CACA :27 [°C], 59.03 RH, 0.9219 bar
[ 14:26:06 ]CCCC :27 [°C], 61.21 RH, 0.9213 bar
[ 14:26:06 ]EEEE :27 [°C], 62.92 RH, 0.9200 bar
[ 14:26:06 ]AAAA :29 [°C], 59.29 RH, 0.9206 bar
[ 14:26:06 ]CCCC :27 [°C], 61.24 RH, 0.9219 bar
[ 14:26:06 ]BABE :27 [°C], 62.31 RH, 0.9200 bar
[ 14:26:07 ]CACA :27 [°C], 59.09 RH, 0.9213 bar
[ 14:26:08 ]EEEE :27 [°C], 62.98 RH, 0.9200 bar
[ 14:26:08 ]BABE :27 [°C], 62.34 RH, 0.9213 bar
[ 14:26:08 ]CCCC :27 [°C], 61.24 RH, 0.9213 bar
[ 14:26:09 ]AAAA :29 [°C], 59.35 RH, 0.9219 bar
[ 14:26:09 ]CACA :27 [°C], 59.12 RH, 0.9213 bar
[ 14:26:10 ]CACA :27 [°C], 59.12 RH, 0.9213 bar
[ 14:26:10 ]AAAA :29 [°C], 59.35 RH, 0.9219 bar
[ 14:26:11 ]EEEE :27 [°C], 62.98 RH, 0.9200 bar
[ 14:26:11 ]CACA :27 [°C], 59.12 RH, 0.9213 bar
[ 14:26:11 ]AAAA :29 [°C], 59.35 RH, 0.9219 bar
[ 14:26:11 ]EEEE :27 [°C], 62.98 RH, 0.9200 bar
[ 14:26:11 ]CCCC :27 [°C], 61.24 RH, 0.9225 bar
[ 14:26:11 ]BABE :27 [°C], 62.37 RH, 0.9225 bar
[ 14:26:11 ]CACA :27 [°C], 59.12 RH, 0.9206 bar
[ 14:26:11 ]EEEE :27 [°C], 62.98 RH, 0.9206 bar
[ 14:26:16 ]EEEE :27 [°C], 62.97 RH, 0.9213 bar
[ 14:26:16 ]AAAA :29 [°C], 59.38 RH, 0.9206 bar
[ 14:26:16 ]CACA :27 [°C], 59.12 RH, 0.9213 bar
[ 14:26:16 ]CCCC :27 [°C], 61.24 RH, 0.9213 bar
[ 14:26:16 ]AAAA :29 [°C], 59.41 RH, 0.9206 bar
[ 14:26:16 ]BABE :27 [°C], 62.45 RH, 0.9225 bar
[ 14:26:17 ]EEEE :27 [°C], 63.04 RH, 0.9200 bar
[ 14:26:17 ]AAAA :29 [°C], 59.41 RH, 0.9219 bar
[ 14:26:17 ]CACA :27 [°C], 59.12 RH, 0.9194 bar
[ 14:26:17 ]CCCC :27 [°C], 61.24 RH, 0.9213 bar
[ 14:26:17 ]BABE :27 [°C], 62.45 RH, 0.9225 bar
[ 14:26:18 ]EEEE :27 [°C], 63.04 RH, 0.9200 bar
[ 14:26:18 ]BABE :27 [°C], 62.47 RH, 0.9213 bar
[ 14:26:18 ]AAAA :29 [°C], 59.44 RH, 0.9206 bar
[ 14:26:18 ]CACA :27 [°C], 59.17 RH, 0.9206 bar
[ 14:26:18 ]CCCC :27 [°C], 61.26 RH, 0.9200 bar
[ 14:26:19 ]EEEE :27 [°C], 63.03 RH, 0.9200 bar
[ 14:26:19 ]CCCC :27 [°C], 61.26 RH, 0.9213 bar
[ 14:26:19 ]BABE :27 [°C], 62.47 RH, 0.9200 bar
[ 14:26:19 ]CACA :27 [°C], 59.23 RH, 0.9219 bar
[ 14:26:19 ]AAAA :29 [°C], 59.47 RH, 0.9219 bar
[ 14:26:20 ]EEEE :27 [°C], 63.06 RH, 0.9200 bar
[ 14:26:20 ]CACA :27 [°C], 59.23 RH, 0.9213 bar
[ 14:26:20 ]AAAA :29 [°C], 59.47 RH, 0.9219 bar
[ 14:26:20 ]CCCC :27 [°C], 61.29 RH, 0.9213 bar
[ 14:26:20 ]BABE :27 [°C], 62.47 RH, 0.9225 bar
[ 14:26:21 ]AAAA :29 [°C], 59.47 RH, 0.9219 bar
[ 14:26:21 ]EEEE :27 [°C], 63.09 RH, 0.9200 bar
[ 14:26:21 ]CACA :27 [°C], 59.23 RH, 0.9213 bar
[ 14:26:21 ]CCCC :27 [°C], 61.29 RH, 0.9200 bar
[ 14:26:21 ]BABE :27 [°C], 62.50 RH, 0.9225 bar
[ 14:26:24 ]CCCC :28 [°C], 61.32 RH, 0.9219 bar
[ 14:26:24 ]CCCC :28 [°C], 61.32 RH, 0.9219 bar
[ 14:26:24 ]AAAA :29 [°C], 59.53 RH, 0.9206 bar
[ 14:26:24 ]CACA :27 [°C], 59.23 RH, 0.9213 bar
[ 14:26:24 ]BABE :27 [°C], 62.56 RH, 0.9213 bar
[ 14:26:24 ]EEEE :27 [°C], 63.18 RH, 0.9200 bar
[ 14:26:27 ]EEEE :27 [°C], 63.21 RH, 0.9187 bar
[ 14:26:27 ]CACA :27 [°C], 59.23 RH, 0.9206 bar
[ 14:26:27 ]BABE :27 [°C], 62.53 RH, 0.9213 bar
[ 14:26:27 ]CCCC :28 [°C], 61.29 RH, 0.9194 bar
[ 14:26:27 ]AAAA :29 [°C], 59.53 RH, 0.9206 bar
[ 14:26:29 ]BABE :27 [°C], 62.53 RH, 0.9194 bar
[ 14:26:29 ]AAAA :29 [°C], 59.50 RH, 0.9219 bar
[ 14:26:29 ]CCCC :28 [°C], 61.26 RH, 0.9219 bar
[ 14:26:29 ]EEEE :27 [°C], 63.21 RH, 0.9213 bar
[ 14:26:29 ]CACA :27 [°C], 59.20 RH, 0.9213 bar
[ 14:26:30 ]AAAA :29 [°C], 59.47 RH, 0.9219 bar
[ 14:26:30 ]CACA :27 [°C], 59.20 RH, 0.9200 bar
[ 14:26:30 ]EEEE :27 [°C], 63.21 RH, 0.9213 bar
[ 14:26:30 ]AAAA :29 [°C], 59.47 RH, 0.9206 bar
[ 14:26:30 ]CCCC :28 [°C], 61.26 RH, 0.9206 bar
[ 14:26:30 ]BABE :27 [°C], 62.53 RH, 0.9219 bar
[ 14:26:32 ]EEEE :27 [°C], 63.18 RH, 0.9213 bar
[ 14:26:32 ]AAAA :29 [°C], 59.47 RH, 0.9206 bar
[ 14:26:32 ]CACA :27 [°C], 59.17 RH, 0.9213 bar
[ 14:26:32 ]BABE :27 [°C], 62.53 RH, 0.9213 bar
[ 14:26:32 ]CCCC :28 [°C], 61.26 RH, 0.9213 bar
[ 14:26:32 ]AAAA :29 [°C], 59.47 RH, 0.9206 bar
[ 14:26:33 ]EEEE :27 [°C], 63.18 RH, 0.9213 bar
[ 14:26:33 ]AAAA :29 [°C], 59.47 RH, 0.9194 bar
[ 14:26:33 ]CACA :28 [°C], 59.20 RH, 0.9213 bar
[ 14:26:33 ]CCCC :27 [°C], 61.26 RH, 0.9219 bar
[ 14:26:33 ]AAAA :29 [°C], 59.44 RH, 0.9206 bar
[ 14:26:34 ]EEEE :27 [°C], 63.18 RH, 0.9200 bar
[ 14:26:34 ]CACA :27 [°C], 59.20 RH, 0.9213 bar
[ 14:26:34 ]BABE :27 [°C], 62.53 RH, 0.9225 bar
[ 14:26:34 ]AAAA :29 [°C], 59.47 RH, 0.9206 bar
[ 14:26:34 ]CCCC :28 [°C], 61.26 RH, 0.9206 bar
[ 14:26:35 ]EEEE :27 [°C], 63.18 RH, 0.9213 bar
[ 14:26:35 ]CCCC :27 [°C], 61.29 RH, 0.9200 bar
[ 14:26:35 ]BABE :27 [°C], 62.53 RH, 0.9225 bar
[ 14:26:35 ]AAAA :29 [°C], 59.47 RH, 0.9194 bar
[ 14:26:35 ]CACA :27 [°C], 59.23 RH, 0.9206 bar
[ 14:26:36 ]EEEE :27 [°C], 63.18 RH, 0.9213 bar
[ 14:26:36 ]CACA :27 [°C], 59.23 RH, 0.9219 bar
[ 14:26:36 ]CCCC :27 [°C], 61.29 RH, 0.9213 bar
[ 14:26:36 ]EEEE :27 [°C], 63.18 RH, 0.9200 bar
[ 14:26:36 ]AAAA :29 [°C], 59.47 RH, 0.9219 bar
[ 14:26:37 ]EEEE :27 [°C], 63.21 RH, 0.9213 bar
[ 14:26:37 ]CCCC :27 [°C], 61.29 RH, 0.9213 bar
[ 14:26:37 ]AAAA :29 [°C], 59.47 RH, 0.9225 bar
[ 14:26:37 ]BABE :27 [°C], 62.56 RH, 0.9213 bar
[ 14:26:37 ]CACA :27 [°C], 59.23 RH, 0.9213 bar
[ 14:26:39 ]EEEE :27 [°C], 63.24 RH, 0.9200 bar
[ 14:26:39 ]CCCC :27 [°C], 61.29 RH, 0.9213 bar
[ 14:26:39 ]CACA :27 [°C], 59.23 RH, 0.9206 bar
[ 14:26:39 ]BABE :27 [°C], 62.65 RH, 0.9219 bar
[ 14:26:40 ]AAAA :29 [°C], 59.44 RH, 0.9219 bar
[ 14:26:40 ]EEEE :27 [°C], 63.27 RH, 0.9213 bar
[ 14:26:40 ]AAAA :29 [°C], 59.47 RH, 0.9194 bar
[ 14:26:40 ]CACA :27 [°C], 59.23 RH, 0.9213 bar
[ 14:26:40 ]EEEE :27 [°C], 63.27 RH, 0.9200 bar
[ 14:26:40 ]BABE :27 [°C], 62.67 RH, 0.9213 bar
[ 14:26:40 ]AAAA :29 [°C], 59.47 RH, 0.9219 bar
[ 14:26:41 ]CCCC :28 [°C], 61.29 RH, 0.9232 bar
[ 14:26:43 ]AAAA :29 [°C], 59.59 RH, 0.9219 bar
[ 14:26:43 ]BABE :27 [°C], 62.82 RH, 0.9213 bar
[ 14:26:43 ]EEEE :27 [°C], 63.36 RH, 0.9219 bar
[ 14:26:44 ]CACA :27 [°C], 59.38 RH, 0.9213 bar
[ 14:26:44 ]CCCC :28 [°C], 61.34 RH, 0.9219 bar
[ 14:26:45 ]EEEE :27 [°C], 63.44 RH, 0.9200 bar
[ 14:26:45 ]CCCC :28 [°C], 61.41 RH, 0.9200 bar
[ 14:26:46 ]AAAA :29 [°C], 59.64 RH, 0.9206 bar
[ 14:26:46 ]BABE :27 [°C], 62.87 RH, 0.9225 bar
[ 14:26:46 ]CACA :28 [°C], 59.44 RH, 0.9213 bar
[ 14:26:46 ]EEEE :27 [°C], 63.42 RH, 0.9200 bar
[ 14:26:47 ]BABE :27 [°C], 62.87 RH, 0.9213 bar
[ 14:26:47 ]CACA :27 [°C], 59.47 RH, 0.9219 bar
[ 14:26:47 ]AAAA :29 [°C], 59.67 RH, 0.9206 bar
[ 14:26:47 ]CCCC :28 [°C], 61.41 RH, 0.9200 bar
[ 14:26:48 ]EEEE :27 [°C], 63.39 RH, 0.9213 bar
[ 14:26:48 ]AAAA :29 [°C], 59.64 RH, 0.9219 bar
[ 14:26:48 ]CCCC :28 [°C], 61.44 RH, 0.9213 bar
[ 14:26:48 ]BABE :27 [°C], 62.85 RH, 0.9225 bar
[ 14:26:48 ]CACA :27 [°C], 59.47 RH, 0.9219 bar
[ 14:26:49 ]EEEE :27 [°C], 63.39 RH, 0.9200 bar
[ 14:26:49 ]BABE :27 [°C], 62.85 RH, 0.9225 bar
[ 14:26:49 ]AAAA :29 [°C], 59.61 RH, 0.9206 bar
[ 14:26:49 ]AAAA :29 [°C], 59.64 RH, 0.9219 bar
[ 14:26:49 ]CACA :27 [°C], 59.47 RH, 0.9213 bar
[ 14:26:49 ]CCCC :28 [°C], 61.46 RH, 0.9213 bar
[ 14:26:50 ]EEEE :27 [°C], 63.36 RH, 0.9213 bar
[ 14:26:50 ]AAAA :29 [°C], 59.67 RH, 0.9206 bar
[ 14:26:50 ]CACA :27 [°C], 59.50 RH, 0.9206 bar
[ 14:26:50 ]CCCC :28 [°C], 61.50 RH, 0.9206 bar
[ 14:26:50 ]BABE :27 [°C], 62.85 RH, 0.9225 bar
[ 14:26:50 ]CCCC :28 [°C], 61.50 RH, 0.9213 bar
[ 14:26:51 ]EEEE :27 [°C], 63.36 RH, 0.9200 bar
[ 14:26:51 ]AAAA :29 [°C], 59.73 RH, 0.9213 bar
[ 14:26:51 ]BABE :27 [°C], 62.85 RH, 0.9225 bar
[ 14:26:51 ]CCCC :28 [°C], 61.52 RH, 0.9219 bar
[ 14:26:51 ]CACA :28 [°C], 59.59 RH, 0.9213 bar
[ 14:26:53 ]EEEE :27 [°C], 63.36 RH, 0.9219 bar
[ 14:26:53 ]AAAA :29 [°C], 59.97 RH, 0.9213 bar
[ 14:26:53 ]CCCC :27 [°C], 61.69 RH, 0.9225 bar
[ 14:26:53 ]CACA :27 [°C], 59.80 RH, 0.9213 bar
[ 14:26:54 ]CACA :27 [°C], 59.86 RH, 0.9213 bar
[ 14:26:54 ]EEEE :27 [°C], 63.36 RH, 0.9200 bar
[ 14:26:54 ]CCCC :28 [°C], 61.77 RH, 0.9213 bar
[ 14:26:54 ]CACA :27 [°C], 59.86 RH, 0.9219 bar
[ 14:26:54 ]BABE :27 [°C], 62.82 RH, 0.9213 bar
[ 14:26:54 ]AAAA :29 [°C], 60.00 RH, 0.9219 bar
[ 14:26:55 ]EEEE :27 [°C], 63.39 RH, 0.9213 bar
[ 14:26:55 ]CACA :27 [°C], 59.86 RH, 0.9219 bar
[ 14:26:55 ]BABE :27 [°C], 62.79 RH, 0.9213 bar
[ 14:26:55 ]AAAA :29 [°C], 60.00 RH, 0.9219 bar
[ 14:26:55 ]CCCC :28 [°C], 61.83 RH, 0.9213 bar
[ 14:26:55 ]EEEE :27 [°C], 63.39 RH, 0.9213 bar
[ 14:26:55 ]AAAA :29 [°C], 60.00 RH, 0.9219 bar
[ 14:26:56 ]EEEE :27 [°C], 63.39 RH, 0.9213 bar
[ 14:26:56 ]AAAA :29 [°C], 59.91 RH, 0.9219 bar
[ 14:26:56 ]BABE :27 [°C], 62.76 RH, 0.9225 bar
[ 14:26:56 ]CCCC :28 [°C], 61.83 RH, 0.9225 bar
[ 14:26:56 ]CACA :27 [°C], 59.86 RH, 0.9213 bar
[ 14:26:56 ]BABE :27 [°C], 62.76 RH, 0.9213 bar
[ 14:26:58 ]AAAA :29 [°C], 59.85 RH, 0.9206 bar
[ 14:26:58 ]CCCC :27 [°C], 61.79 RH, 0.9219 bar
[ 14:26:58 ]EEEE :27 [°C], 63.44 RH, 0.9213 bar
[ 14:26:58 ]EEEE :27 [°C], 63.44 RH, 0.9213 bar
[ 14:26:58 ]CACA :27 [°C], 59.86 RH, 0.9213 bar
[ 14:26:58 ]BABE :27 [°C], 62.76 RH, 0.9219 bar
[ 14:27:00 ]AAAA :29 [°C], 59.80 RH, 0.9206 bar
[ 14:27:00 ]BABE :27 [°C], 62.76 RH, 0.9225 bar
[ 14:27:00 ]AAAA :29 [°C], 59.80 RH, 0.9219 bar
[ 14:27:00 ]BABE :27 [°C], 62.76 RH, 0.9213 bar
[ 14:27:00 ]CCCC :28 [°C], 61.79 RH, 0.9225 bar
[ 14:27:00 ]EEEE :27 [°C], 63.47 RH, 0.9200 bar
[ 14:27:00 ]CACA :28 [°C], 59.77 RH, 0.9213 bar
[ 14:27:02 ]EEEE :27 [°C], 63.47 RH, 0.9200 bar
[ 14:27:02 ]CCCC :28 [°C], 61.83 RH, 0.9219 bar
[ 14:27:02 ]CACA :27 [°C], 59.80 RH, 0.9213 bar
[ 14:27:02 ]AAAA :29 [°C], 59.85 RH, 0.9213 bar
[ 14:27:02 ]BABE :27 [°C], 62.76 RH, 0.9213 bar
[ 14:27:02 ]CCCC :28 [°C], 61.86 RH, 0.9213 bar
[ 14:27:04 ]AAAA :29 [°C], 60.00 RH, 0.9219 bar
[ 14:27:04 ]CACA :27 [°C], 59.86 RH, 0.9206 bar
[ 14:27:04 ]CCCC :27 [°C], 61.91 RH, 0.9219 bar
[ 14:27:04 ]BABE :27 [°C], 62.82 RH, 0.9213 bar
[ 14:27:04 ]EEEE :27 [°C], 63.50 RH, 0.9200 bar
[ 14:27:05 ]AAAA :29 [°C], 60.00 RH, 0.9219 bar
[ 14:27:05 ]CACA :27 [°C], 59.86 RH, 0.9219 bar
[ 14:27:05 ]EEEE :27 [°C], 63.50 RH, 0.9200 bar
[ 14:27:05 ]CCCC :27 [°C], 61.91 RH, 0.9213 bar
[ 14:27:05 ]BABE :27 [°C], 62.82 RH, 0.9219 bar
[ 14:27:06 ]EEEE :27 [°C], 63.47 RH, 0.9200 bar
[ 14:27:06 ]BABE :27 [°C], 62.82 RH, 0.9206 bar
[ 14:27:06 ]AAAA :29 [°C], 59.97 RH, 0.9200 bar
[ 14:27:06 ]CCCC :27 [°C], 61.91 RH, 0.9225 bar
[ 14:27:06 ]CACA :27 [°C], 59.86 RH, 0.9219 bar
[ 14:27:07 ]CACA :27 [°C], 59.83 RH, 0.9219 bar
[ 14:27:07 ]EEEE :27 [°C], 63.47 RH, 0.9213 bar
[ 14:27:07 ]BABE :27 [°C], 62.85 RH, 0.9213 bar
[ 14:27:07 ]AAAA :29 [°C], 59.91 RH, 0.9219 bar
[ 14:27:07 ]CCCC :27 [°C], 61.89 RH, 0.9213 bar
[ 14:27:08 ]EEEE :27 [°C], 63.47 RH, 0.9200 bar
[ 14:27:08 ]EEEE :27 [°C], 63.47 RH, 0.9200 bar
[ 14:27:08 ]CCCC :27 [°C], 61.89 RH, 0.9213 bar
[ 14:27:08 ]BABE :27 [°C], 62.87 RH, 0.9206 bar
[ 14:27:08 ]AAAA :29 [°C], 59.85 RH, 0.9206 bar
[ 14:27:08 ]CACA :27 [°C], 59.83 RH, 0.9219 bar
[ 14:27:09 ]AAAA :29 [°C], 59.85 RH, 0.9206 bar
[ 14:27:09 ]BABE :27 [°C], 62.87 RH, 0.9225 bar
[ 14:27:09 ]CCCC :27 [°C], 61.86 RH, 0.9219 bar
[ 14:27:09 ]CACA :27 [°C], 59.80 RH, 0.9213 bar
[ 14:27:09 ]EEEE :27 [°C], 63.44 RH, 0.9200 bar
[ 14:27:10 ]AAAA :29 [°C], 59.80 RH, 0.9206 bar
[ 14:27:10 ]BABE :27 [°C], 62.87 RH, 0.9225 bar
[ 14:27:10 ]CACA :27 [°C], 59.73 RH, 0.9219 bar
[ 14:27:10 ]EEEE :27 [°C], 63.44 RH, 0.9200 bar
[ 14:27:10 ]CCCC :27 [°C], 61.83 RH, 0.9219 bar
[ 14:27:13 ]AAAA :29 [°C], 59.64 RH, 0.9219 bar
[ 14:27:13 ]EEEE :27 [°C], 63.27 RH, 0.9200 bar
[ 14:27:13 ]CCCC :27 [°C], 61.69 RH, 0.9219 bar
[ 14:27:14 ]CACA :27 [°C], 59.47 RH, 0.9219 bar
[ 14:27:14 ]BABE :27 [°C], 62.70 RH, 0.9225 bar
[ 14:27:14 ]CCCC :27 [°C], 61.63 RH, 0.9225 bar
[ 14:27:14 ]CACA :27 [°C], 59.44 RH, 0.9213 bar
[ 14:27:15 ]EEEE :27 [°C], 63.21 RH, 0.9200 bar
[ 14:27:15 ]AAAA :29 [°C], 59.59 RH, 0.9194 bar
[ 14:27:15 ]BABE :27 [°C], 62.67 RH, 0.9219 bar
[ 14:27:15 ]EEEE :27 [°C], 63.21 RH, 0.9200 bar
[ 14:27:15 ]BABE :27 [°C], 62.65 RH, 0.9213 bar
[ 14:27:16 ]CACA :27 [°C], 59.38 RH, 0.9219 bar
[ 14:27:16 ]AAAA :29 [°C], 59.59 RH, 0.9219 bar
[ 14:27:16 ]CCCC :27 [°C], 61.57 RH, 0.9206 bar
[ 14:27:19 ]EEEE :27 [°C], 63.30 RH, 0.9200 bar
[ 14:27:19 ]CACA :27 [°C], 59.29 RH, 0.9206 bar
[ 14:27:19 ]CCCC :27 [°C], 61.49 RH, 0.9213 bar
[ 14:27:19 ]BABE :27 [°C], 62.65 RH, 0.9200 bar
[ 14:27:19 ]EEEE :27 [°C], 63.30 RH, 0.9200 bar
[ 14:27:19 ]AAAA :29 [°C], 59.67 RH, 0.9206 bar
[ 14:27:20 ]EEEE :27 [°C], 63.33 RH, 0.9200 bar
[ 14:27:20 ]CACA :27 [°C], 59.26 RH, 0.9219 bar
[ 14:27:20 ]CCCC :27 [°C], 61.49 RH, 0.9213 bar
[ 14:27:20 ]AAAA :29 [°C], 59.73 RH, 0.9206 bar
[ 14:27:20 ]BABE :27 [°C], 62.67 RH, 0.9213 bar
[ 14:27:21 ]AAAA :29 [°C], 59.73 RH, 0.9219 bar
[ 14:27:21 ]BABE :27 [°C], 62.70 RH, 0.9219 bar
[ 14:27:21 ]CACA :27 [°C], 59.29 RH, 0.9213 bar
[ 14:27:21 ]EEEE :27 [°C], 63.42 RH, 0.9200 bar
[ 14:27:21 ]CCCC :27 [°C], 61.49 RH, 0.9213 bar
[ 14:27:22 ]BABE :27 [°C], 62.70 RH, 0.9225 bar
[ 14:27:22 ]CCCC :27 [°C], 61.49 RH, 0.9213 bar
[ 14:27:22 ]AAAA :29 [°C], 59.80 RH, 0.9206 bar
[ 14:27:22 ]CCCC :27 [°C], 61.49 RH, 0.9219 bar
[ 14:27:22 ]EEEE :27 [°C], 63.47 RH, 0.9213 bar
[ 14:27:22 ]CACA :27 [°C], 59.35 RH, 0.9219 bar
[ 14:27:23 ]AAAA :29 [°C], 59.83 RH, 0.9206 bar
[ 14:27:23 ]CACA :27 [°C], 59.35 RH, 0.9213 bar
[ 14:27:23 ]BABE :27 [°C], 62.73 RH, 0.9225 bar
[ 14:27:23 ]EEEE :27 [°C], 63.56 RH, 0.9200 bar
[ 14:27:23 ]AAAA :29 [°C], 59.85 RH, 0.9206 bar
[ 14:27:23 ]CCCC :27 [°C], 61.49 RH, 0.9200 bar
[ 14:27:24 ]AAAA :29 [°C], 59.88 RH, 0.9206 bar
[ 14:27:24 ]BABE :27 [°C], 62.73 RH, 0.9213 bar
[ 14:27:24 ]EEEE :27 [°C], 63.66 RH, 0.9213 bar
[ 14:27:24 ]CACA :28 [°C], 59.38 RH, 0.9213 bar
[ 14:27:24 ]CCCC :27 [°C], 61.49 RH, 0.9213 bar
[ 14:27:24 ]AAAA :29 [°C], 59.91 RH, 0.9219 bar
[ 14:27:25 ]EEEE :27 [°C], 63.77 RH, 0.9213 bar
[ 14:27:25 ]BABE :27 [°C], 62.76 RH, 0.9213 bar
[ 14:27:25 ]CACA :28 [°C], 59.41 RH, 0.9213 bar
[ 14:27:25 ]CCCC :27 [°C], 61.52 RH, 0.9213 bar
[ 14:27:25 ]AAAA :29 [°C], 59.97 RH, 0.9219 bar
[ 14:27:26 ]EEEE :27 [°C], 63.83 RH, 0.9200 bar
[ 14:27:26 ]CACA :28 [°C], 59.44 RH, 0.9213 bar
[ 14:27:26 ]BABE :27 [°C], 62.82 RH, 0.9225 bar
[ 14:27:26 ]AAAA :29 [°C], 60.00 RH, 0.9219 bar
[ 14:27:26 ]CCCC :28 [°C], 61.57 RH, 0.9213 bar
[ 14:27:27 ]EEEE :27 [°C], 63.86 RH, 0.9213 bar
[ 14:27:27 ]CACA :28 [°C], 59.44 RH, 0.9206 bar
[ 14:27:27 ]AAAA :29 [°C], 60.03 RH, 0.9206 bar
[ 14:27:27 ]BABE :27 [°C], 62.87 RH, 0.9225 bar
[ 14:27:27 ]CCCC :27 [°C], 61.57 RH, 0.9213 bar
[ 14:27:28 ]EEEE :27 [°C], 63.89 RH, 0.9213 bar
[ 14:27:28 ]CCCC :27 [°C], 61.60 RH, 0.9213 bar
[ 14:27:28 ]CACA :27 [°C], 59.47 RH, 0.9219 bar
[ 14:27:28 ]BABE :27 [°C], 62.90 RH, 0.9225 bar
[ 14:27:28 ]AAAA :29 [°C], 60.03 RH, 0.9206 bar
[ 14:27:28 ]CCCC :27 [°C], 61.57 RH, 0.9213 bar
[ 14:27:29 ]EEEE :27 [°C], 63.89 RH, 0.9200 bar
